# Residuals        
# Time             	p                  	Ux                 	Uy                 	Uz                 	k                  	epsilon            
136                	2.388191982450e-03	2.152977066210e-04	1.077227465400e-03	1.123868157520e-03	2.713163317900e-03	4.986950173670e-05
137                	2.301535517750e-03	2.088324696420e-04	1.057318966580e-03	1.094217798930e-03	2.668766253320e-03	4.844462509370e-05
138                	2.216389287180e-03	2.025171437480e-04	1.037217652210e-03	1.065462432920e-03	2.624228732520e-03	4.704920517950e-05
139                	2.133669054740e-03	1.963418081320e-04	1.017042876180e-03	1.037629458690e-03	2.579537704190e-03	4.568205480930e-05
140                	2.055609077300e-03	1.903103963370e-04	9.968417886320e-04	1.010729403830e-03	2.534559544970e-03	4.434212110590e-05
141                	1.978667283010e-03	1.844286727550e-04	9.767586640640e-04	9.846922686340e-04	2.489079254650e-03	4.303049408530e-05
142                	1.905191912380e-03	1.786877796030e-04	9.567237208490e-04	9.594771138590e-04	2.443110266760e-03	4.174208892460e-05
143                	1.834512336850e-03	1.730801245920e-04	9.367899861570e-04	9.350973900810e-04	2.396399834620e-03	4.047456119920e-05
144                	1.764692080880e-03	1.676069954530e-04	9.169424197800e-04	9.115977034220e-04	2.348844306910e-03	3.922258201480e-05
145                	1.695880827340e-03	1.622730870580e-04	8.970223481220e-04	8.889606445660e-04	2.300156717050e-03	3.798773938490e-05
146                	1.629723187570e-03	1.570717278560e-04	8.769480277450e-04	8.670600394830e-04	2.250212699390e-03	3.677154137060e-05
147                	1.566971816840e-03	1.519933721720e-04	8.567899839950e-04	8.458935558370e-04	2.198855720480e-03	3.557319979270e-05
148                	1.507381154640e-03	1.470399123610e-04	8.367184746070e-04	8.253497013120e-04	2.145950895340e-03	3.438572525280e-05
149                	1.450713307310e-03	1.422002136120e-04	8.166668938570e-04	8.053578541410e-04	2.091503590550e-03	3.321154561380e-05
150                	1.398256063650e-03	1.374744468840e-04	7.965750809230e-04	7.859060715960e-04	2.035450067860e-03	3.205023684460e-05
151                	1.347726103410e-03	1.328500969900e-04	7.764413918790e-04	7.668877739800e-04	1.977712130930e-03	3.090111231390e-05
152                	1.299575029020e-03	1.283239928440e-04	7.563003837000e-04	7.481923021660e-04	1.918361397360e-03	2.977080752570e-05
153                	1.252666432340e-03	1.238953168420e-04	7.362093645080e-04	7.297646647840e-04	1.857456883060e-03	2.865631392400e-05
154                	1.207293919790e-03	1.195692738400e-04	7.161299249370e-04	7.115657526070e-04	1.795118187960e-03	2.755903629310e-05
155                	1.164179758390e-03	1.153455317790e-04	6.961100669970e-04	6.934637611390e-04	1.731566352060e-03	2.648144230510e-05
156                	1.121600103590e-03	1.112065374930e-04	6.760119285630e-04	6.756181620230e-04	1.666960472310e-03	2.542342959390e-05
157                	1.081520561830e-03	1.071554151200e-04	6.558690929340e-04	6.578427691760e-04	1.601503507940e-03	2.438435212260e-05
158                	1.043309608100e-03	1.031913159260e-04	6.356815576430e-04	6.399466926810e-04	1.535442141960e-03	2.336619197620e-05
159                	1.007345863130e-03	9.930725384570e-05	6.154298265870e-04	6.218445019420e-04	1.469007466670e-03	2.237036986780e-05
160                	9.749789433640e-04	9.550289300140e-05	5.951717743340e-04	6.035895573350e-04	1.402516024440e-03	2.139795794390e-05
161                	9.437349504590e-04	9.178209262170e-05	5.749337398310e-04	5.853205942640e-04	1.336222945580e-03	2.044950759450e-05
162                	9.127018776510e-04	8.814067335880e-05	5.547165773680e-04	5.670590241090e-04	1.270480054170e-03	1.952554715090e-05
163                	8.820277528770e-04	8.457607020310e-05	5.345975757220e-04	5.487599890710e-04	1.205495687900e-03	1.862893012760e-05
164                	8.518065075850e-04	8.108643277250e-05	5.146397269080e-04	5.303455885050e-04	1.141654445690e-03	1.776032456780e-05
165                	8.214387724130e-04	7.767257768800e-05	4.949380415740e-04	5.118366923540e-04	1.079271984820e-03	1.691988390370e-05
166                	7.919103396450e-04	7.433918403930e-05	4.754638583380e-04	4.932927533320e-04	1.018601250030e-03	1.610828987830e-05
167                	7.627807738080e-04	7.109148242420e-05	4.561895721290e-04	4.747927155330e-04	9.598490249740e-04	1.532850135410e-05
168                	7.335500407900e-04	6.792707074180e-05	4.371186663310e-04	4.564091696140e-04	9.032257194900e-04	1.457904232780e-05
169                	7.047639251800e-04	6.484801762500e-05	4.183482883270e-04	4.381576501150e-04	8.488749292140e-04	1.386006439580e-05
170                	6.759894511830e-04	6.185556546780e-05	3.999498563860e-04	4.200683407520e-04	7.969433764640e-04	1.317211626280e-05
171                	6.474434077530e-04	5.895309766260e-05	3.819558524370e-04	4.021887777750e-04	7.475159395540e-04	1.251501968030e-05
172                	6.191226077290e-04	5.614362645170e-05	3.643462662770e-04	3.845723700060e-04	7.006759227650e-04	1.188828708700e-05
173                	5.911841557360e-04	5.342879340110e-05	3.471125188480e-04	3.672802643040e-04	6.564679792130e-04	1.129176937220e-05
174                	5.636104481030e-04	5.080900678350e-05	3.302888050080e-04	3.503679643530e-04	6.148633549980e-04	1.072502162380e-05
175                	5.366084157680e-04	4.828608086730e-05	3.139255680380e-04	3.338931889950e-04	5.758368568220e-04	1.018649040950e-05
176                	5.102975138490e-04	4.586002220430e-05	2.980725237800e-04	3.178576242830e-04	5.392824208490e-04	9.675767752410e-06
177                	4.845955919410e-04	4.353184380940e-05	2.827318633030e-04	3.022961722100e-04	5.051133048540e-04	9.191878428470e-06
178                	4.596180228600e-04	4.130200924700e-05	2.678925584790e-04	2.872491314510e-04	4.732561008880e-04	8.733153527970e-06
179                	4.355775635720e-04	3.916931782080e-05	2.535619210840e-04	2.727477639740e-04	4.435850832160e-04	8.298326019050e-06
180                	4.123968599590e-04	3.713313132430e-05	2.397323000060e-04	2.588155735080e-04	4.159550862250e-04	7.886242588770e-06
181                	3.899733427810e-04	3.519138413960e-05	2.264087657860e-04	2.454610165610e-04	3.902514278700e-04	7.495795096610e-06
182                	3.683932001730e-04	3.334258791990e-05	2.135952390300e-04	2.326808737020e-04	3.663434057010e-04	7.125523693760e-06
183                	3.479797622760e-04	3.158477343770e-05	2.012932735130e-04	2.204702258860e-04	3.440869289190e-04	6.774031455990e-06
184                	3.287772690620e-04	2.991596558970e-05	1.895063068890e-04	2.088272484830e-04	3.233735431430e-04	6.439783238380e-06
185                	3.105893507900e-04	2.833320499960e-05	1.782355405470e-04	1.977496230930e-04	3.040801606090e-04	6.122274515700e-06
186                	2.933790188940e-04	2.683291876080e-05	1.674741830860e-04	1.872277916470e-04	2.860805611460e-04	5.820529802280e-06
187                	2.770917616850e-04	2.541189244660e-05	1.572181616230e-04	1.772481582060e-04	2.692789256810e-04	5.533086271290e-06
188                	2.617000482910e-04	2.406681300160e-05	1.474646464710e-04	1.677902310980e-04	2.535826366470e-04	5.259544241250e-06
189                	2.471348687720e-04	2.279454105820e-05	1.381974696030e-04	1.588307285170e-04	2.389024155210e-04	4.999049197830e-06
