"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","Points:0","Points:1","Points:2"
2.78028e+01,2.48441e+00,-3.53009e+01,2.19948e-02,1.63884e+01,-2.75170e-01,-1.18032e+00,1,5.81868e+05,4.78589e+06,1.10024e+03
2.74753e+01,2.48396e+00,-3.49559e+01,2.29245e-02,1.63269e+01,-2.87660e-01,-1.23851e+00,1,5.81871e+05,4.78589e+06,1.09835e+03
2.56450e+01,2.48922e+00,-3.41185e+01,2.53310e-02,1.62093e+01,-3.52326e-01,-1.35872e+00,1,5.81878e+05,4.78589e+06,1.09608e+03
2.32755e+01,2.27634e+00,-6.06877e+00,2.24864e-02,1.44260e+01,-1.01599e+00,1.89555e+00,1,5.81619e+05,4.78553e+06,1.04853e+03
2.29631e+01,2.28303e+00,-6.80957e+00,2.34385e-02,1.44822e+01,-1.00783e+00,1.93168e+00,1,5.81622e+05,4.78553e+06,1.05006e+03
2.26846e+01,2.27479e+00,-8.11529e+00,2.41724e-02,1.45710e+01,-9.83816e-01,1.91889e+00,1,5.81628e+05,4.78553e+06,1.05109e+03
2.27705e+01,2.25854e+00,-8.39958e+00,2.37313e-02,1.45830e+01,-9.74784e-01,1.86613e+00,1,5.81630e+05,4.78552e+06,1.05005e+03
2.31277e+01,2.24977e+00,-7.70435e+00,2.28007e-02,1.45297e+01,-9.80864e-01,1.82490e+00,1,5.81627e+05,4.78552e+06,1.04857e+03
2.36591e+01,2.25390e+00,-6.08509e+00,2.15370e-02,1.44167e+01,-1.00262e+00,1.81088e+00,1,5.81619e+05,4.78552e+06,1.04698e+03
2.59853e+01,2.34110e+00,-1.05298e+00,1.99382e-02,1.41623e+01,-1.03799e+00,2.00950e+00,1,5.81595e+05,4.78555e+06,1.04848e+03
2.67927e+01,2.32982e+00,3.17955e-01,1.91018e-02,1.40723e+01,-1.02734e+00,1.95503e+00,1,5.81587e+05,4.78555e+06,1.04674e+03
2.68221e+01,2.35578e+00,4.99023e-01,1.94620e-02,1.40779e+01,-1.02921e+00,2.04040e+00,1,5.81587e+05,4.78556e+06,1.04823e+03
2.66679e+01,2.37011e+00,-1.10651e-01,1.98188e-02,1.41266e+01,-1.02564e+00,2.09144e+00,1,5.81590e+05,4.78556e+06,1.04954e+03
2.63066e+01,2.37240e+00,-1.42609e+00,2.01861e-02,1.42137e+01,-1.01920e+00,2.10745e+00,1,5.81596e+05,4.78556e+06,1.05080e+03
2.58637e+01,2.35715e+00,-1.66022e+00,2.02972e-02,1.42127e+01,-1.03319e+00,2.06564e+00,1,5.81598e+05,4.78555e+06,1.04993e+03
2.25573e+01,2.46813e+00,-2.60843e+01,2.72593e-02,1.62340e+01,-1.39150e-01,1.78716e+00,1,5.81692e+05,4.78562e+06,1.09742e+03
2.15940e+01,2.45869e+00,-2.57842e+01,2.79284e-02,1.61814e+01,-2.08552e-01,1.84141e+00,1,5.81692e+05,4.78561e+06,1.09433e+03
